Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
"3/4"" Milwaukee UPBA150 Sweat Ball Valve",MILWAUKEE VALVE,UPBA150,UPBA-150 3/4 BZ 600 2PC SDR LL
"6"" Milwaukee HPL3CS4213 Butterfly Valve",MILWAUKEE VALVE,HP3LCS4213,HP3LCS4213 6 HP BUTTERFLY VLV
"2 1/2"" Milwaukee ML234E Butterfly Valve",MILWAUKEE VALVE,ML234E,ML234E 2-1/2 BFV
"6"" Milwaukee ML234E Butterfly Valve",MILWAUKEE VALVE,ML234E,ML234E 6 DI EPDM BFV W/LH
"2 1/2"" Milwaukee HP1LCS4212 Butterfly Valve",MILWAUKEE VALVE,HP1LCS4212,HP1LCS4212 2-1/2 BUTTERFLY VLV
"4"" Milwaukee HP1LCS4212 Butterfly Valve",MILWAUKEE VALVE,HP1LCS4212,HP1LCS4212 4 BUTTERFLY VLV
"3"" Milwaukee HP3LCS4213 Butterfly Valve",MILWAUKEE VALVE,HP3LCS4213,HP3LCS4213 3 HP BUTTERFLY VLV
"4"" Milwaukee HP3LCS4213 Butterfly Valve",MILWAUKEE VALVE,HP3LCS4213,HP3LCS4213 4 HP BUTTERFLY VLV
"4"" Milwaukee F2974M26 Flanged Check Valve",MILWAUKEE VALVE,F2974M26,F2974-M26 4 FLG CHECK VALVE
"1/2"" Milwaukee 515 Threaded Check Valve",MILWAUKEE VALVE,515,515 1/2 IPS CHECK VALVE
"3/4"" Milwaukee 515 Threaded Check Valve",MILWAUKEE VALVE,515,515 3/4 IPS CHECK VALVE
"4"" Milwaukee 1850 Flanged Silent Check Valve",MILWAUKEE VALVE,1850,1850 4 FLG 250# SILENT CHECK
"1/2"" Milwaukee 1151 Threaded Gate Valve",MILWAUKEE VALVE,1151,1151 1/2 THRD BZ GATE VALVE
"3/4"" Milwaukee 1151 Threaded Gate Valve",MILWAUKEE VALVE,1151,1151 3/4 THRD BZ GATE VALVE
"6"" Watts LF115 Flanged Pressure Reducing Valve",ASC,LFF115,LFF115 6 150 GLOBE ACV
"2"" Watts LFU5B-Z3 Threaded Pressure Reducing Valve",WATTS,LFU5BZ3,0009204 2 LFU5B-Z3 PR VLV
"3/4"" Watts LFU5B-Z3 Threaded Pressure Reducing Valve",WATTS,LFU5BZ3,0009118 3/4 LFU5B-Z3 PR VLV
"1/2"" Spirax Sarco B1H-250 Threaded Inverted Bucket Steam Trap",SPIRAX SARCO,64152,64152 1/2 NPT B1H-250 (SS) BKT
"1/2"" Spirax Sarco B1H-250 Threaded Inverted Bucket Steam Trap",SPIRAX SARCO,64164,64164 3/4 NPT B1H-250 (SS) BKT
"3/4"" Spirax Sarco B1H-250 Threaded Inverted Bucket Steam Trap",SPIRAX SARCO,64152,64152 1/2 NPT B1H-250 (SS) BKT
"3/4"" Spirax Sarco B1H-250 Threaded Inverted Bucket Steam Trap",SPIRAX SARCO,64164,64164 3/4 NPT B1H-250 (SS) BKT
"1 1/2"" Standard No Hub Coupling",ANACO,11/2REGNOHUBCPLG,MIS C150C ANA 0002
"1 1/2"" CU Sweat DWV 90",ELKHART PRODUCTS CORP,11/2DWVCXC90,EPC 10046412 MUEL W 07401
"1 1/2"" CU Sweat DWV Long Turn 90",ELKHART PRODUCTS CORP,11/2DWVCXCLT90,EPC 10046430 MUEL A 07209
"2""x1 1/2"" NHCI Short Reducer",AB&I FOUNDRY,2X11/2NOHUBREDUCER,SHORT PATTERN AB&I 02138
"1 1/2"" CU Sweat DWV 45",ELKHART PRODUCTS CORP,11/2DWVCXC45,EPC 10046354 MUEL W 07421
"1 1/2"" CU Sweat DWV San Tee",ELKHART PRODUCTS CORP,11/2DWVCXCXCSANTEE,EPC 10046562 MUEL W 07511
"2"" Standard No Hub Coupling",ANACO,2REGNOHUBCPLG,MIS C200C ANA 0006
"1 1/2"" NHCI Pipe",AB&I FOUNDRY,11/2X10NOHUBPIPE,***540FT/LIFT*** AB&I 00156
"2"" NHCI Pipe",AB&I FOUNDRY,2X10NOHUBPIPE,*** 640FT/LIFT*** AB&I 00158
"3"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BM,3 BLK BE A53B S40 ERW SRL PIPE
"3"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BM,3 BLK BE A53B S40 ERW SRL PIPE
"3"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BM,3 BLK BE A53B S40 ERW SRL PIPE
"3"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BM,3 BLK BE A53B S40 ERW SRL PIPE
"3"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BM,3 BLK BE A53B S40 ERW SRL PIPE
"4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BP,4 BLK BE A53B S40 ERW SRL PIPE
"4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BP,4 BLK BE A53B S40 ERW SRL PIPE
"4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BP,4 BLK BE A53B S40 ERW SRL PIPE
"4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BP,4 BLK BE A53B S40 ERW SRL PIPE
"4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BP,4 BLK BE A53B S40 ERW SRL PIPE
"2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BK,2 BLK BE A53B S40 ERW SRL PIPE
"2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BK,2 BLK BE A53B S40 ERW SRL PIPE
"2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BK,2 BLK BE A53B S40 ERW SRL PIPE
"2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BK,2 BLK BE A53B S40 ERW SRL PIPE
"2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BK,2 BLK BE A53B S40 ERW SRL PIPE
"3/4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BF,3/4 BLK BE A53B S40 ERW SRL PIPE
"3/4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BF,3/4 BLK BE A53B S40 ERW SRL PIPE
"3/4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BF,3/4 BLK BE A53B S40 ERW SRL PIPE
"3/4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BF,3/4 BLK BE A53B S40 ERW SRL PIPE
"3/4"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BF,3/4 BLK BE A53B S40 ERW SRL PIPE
"6"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BU,6 BLK BE A53B S40 ERW SRL PIPE
"6"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BU,6 BLK BE A53B S40 ERW SRL PIPE
"6"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BU,6 BLK BE A53B S40 ERW SRL PIPE
"6"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BU,6 BLK BE A53B S40 ERW SRL PIPE
"6"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BU,6 BLK BE A53B S40 ERW SRL PIPE
"2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80K,2 BLK BE A106B S80 SMLS SRL PIPE
"2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80K,2 BLK BE A106B S80 SMLS SRL PIPE
"2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80K,2 BLK BE A106B S80 SMLS SRL PIPE
"2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80K,2 BLK BE A106B S80 SMLS SRL PIPE
"2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80K,2 BLK BE A106B S80 SMLS SRL PIPE
"2 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BL,21/2 BLK BE A53B S40 ERW SRL PIPE
"2 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BL,21/2 BLK BE A53B S40 ERW SRL PIPE
"2 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BL,21/2 BLK BE A53B S40 ERW SRL PIPE
"2 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BL,21/2 BLK BE A53B S40 ERW SRL PIPE
"2 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BL,21/2 BLK BE A53B S40 ERW SRL PIPE
"3/4"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80F,3/4 BLK BE A53B S80 ERW SRL PIPE
"3/4"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80F,3/4 BLK BE A53B S80 ERW SRL PIPE
"3/4"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80F,3/4 BLK BE A53B S80 ERW SRL PIPE
"3/4"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80F,3/4 BLK BE A53B S80 ERW SRL PIPE
"3/4"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80F,3/4 BLK BE A53B S80 ERW SRL PIPE
"3/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9F,3/4 FS 3000# SW 90 ELL
"3/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9F,3/4 FS 3000# SW 90 ELL
"3/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9F,3/4 FS 3000# SW 90 ELL
"3/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9F,3/4 FS 3000# SW 90 ELL
"3/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9F,3/4 FS 3000# SW 90 ELL
"1/2""  on 3/4"" -36"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOL36FD,36  3/4 X 1/2 FS 3000# TOL
"1/2""  on 3/4"" -36"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOL36FD,36  3/4 X 1/2 FS 3000# TOL
"1/2""  on 3/4"" -36"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOL36FD,36  3/4 X 1/2 FS 3000# TOL
"1/2""  on 3/4"" -36"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOL36FD,36  3/4 X 1/2 FS 3000# TOL
"1/2""  on 3/4"" -36"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOL36FD,36  3/4 X 1/2 FS 3000# TOL
"2 1/2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFL,21/2 CS 150# STD RF WN FLG
"2 1/2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFL,21/2 CS 150# STD RF WN FLG
"2 1/2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFL,21/2 CS 150# STD RF WN FLG
"2 1/2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFL,21/2 CS 150# STD RF WN FLG
"2 1/2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFL,21/2 CS 150# STD RF WN FLG
"1 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BJ,11/2 BLK BE A53B S40 ERW SRL PIPE
"1 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BJ,11/2 BLK BE A53B S40 ERW SRL PIPE
"1 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BJ,11/2 BLK BE A53B S40 ERW SRL PIPE
"1 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BJ,11/2 BLK BE A53B S40 ERW SRL PIPE
"1 1/2"" Std. Wt. CS Gr. B Pipe",GLOBAL,GBPPEA53BJ,11/2 BLK BE A53B S40 ERW SRL PIPE
"1/2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80D,1/2 BLK BE A106B S80 SMLS SRL PIPE
"1/2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80D,1/2 BLK BE A106B S80 SMLS SRL PIPE
"1/2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80D,1/2 BLK BE A106B S80 SMLS SRL PIPE
"1/2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80D,1/2 BLK BE A106B S80 SMLS SRL PIPE
"1/2"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80D,1/2 BLK BE A106B S80 SMLS SRL PIPE
"3"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80M,3 BLK BE A106B S80 SMLS SRL PIPE
"3"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80M,3 BLK BE A106B S80 SMLS SRL PIPE
"3"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80M,3 BLK BE A106B S80 SMLS SRL PIPE
"3"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80M,3 BLK BE A106B S80 SMLS SRL PIPE
"3"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80M,3 BLK BE A106B S80 SMLS SRL PIPE
"3/4"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80F,3/4 BLK BE A106B S80 SMLS SRL PIPE
"3/4"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80F,3/4 BLK BE A106B S80 SMLS SRL PIPE
"3/4"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80F,3/4 BLK BE A106B S80 SMLS SRL PIPE
"3/4"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80F,3/4 BLK BE A106B S80 SMLS SRL PIPE
"3/4"" XH CS Gr. A106B Pipe",GLOBAL,GBSPA106B80F,3/4 BLK BE A106B S80 SMLS SRL PIPE
"1/2"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80D,1/2 BLK BE A53B S80 ERW SRL PIPE
"1/2"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80D,1/2 BLK BE A53B S80 ERW SRL PIPE
"1/2"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80D,1/2 BLK BE A53B S80 ERW SRL PIPE
"1/2"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80D,1/2 BLK BE A53B S80 ERW SRL PIPE
"1/2"" XH CS Gr. B Pipe",GLOBAL,GBPPEA53B80D,1/2 BLK BE A53B S80 ERW SRL PIPE
"1 1/2"" Std. Wt. CS 150# FF Threaded Flange",GLOBAL,GFFTFJ,11/2 CS 150# FF THRD FLG
"1 1/2"" Std. Wt. CS 150# FF Threaded Flange",GLOBAL,GFFTFJ,11/2 CS 150# FF THRD FLG
"1 1/2"" Std. Wt. CS 150# FF Threaded Flange",GLOBAL,GFFTFJ,11/2 CS 150# FF THRD FLG
"1 1/2"" Std. Wt. CS 150# FF Threaded Flange",GLOBAL,GFFTFJ,11/2 CS 150# FF THRD FLG
"1 1/2"" Std. Wt. CS 150# FF Threaded Flange",GLOBAL,GFFTFJ,11/2 CS 150# FF THRD FLG
"3"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFM,3 CS 300# STD RF WN FLG
"3"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFM,3 CS 300# STD RF WN FLG
"3"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFM,3 CS 300# STD RF WN FLG
"3"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFM,3 CS 300# STD RF WN FLG
"3"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFM,3 CS 300# STD RF WN FLG
"2 1/2"" Std. Wt. CS BW LR 90",GLOBAL,GW9L,21/2 CS STD WLD LR 90 ELL
"2 1/2"" Std. Wt. CS BW LR 90",GLOBAL,GW9L,21/2 CS STD WLD LR 90 ELL
"2 1/2"" Std. Wt. CS BW LR 90",GLOBAL,GW9L,21/2 CS STD WLD LR 90 ELL
"2 1/2"" Std. Wt. CS BW LR 90",GLOBAL,GW9L,21/2 CS STD WLD LR 90 ELL
"2 1/2"" Std. Wt. CS BW LR 90",GLOBAL,GW9L,21/2 CS STD WLD LR 90 ELL
"1 1/4"" Dielectric Nipple",PROFLO,PFXDNTHP,LF 11/4X4 TXT IPS DIELEC NIP
"1 1/4"" Dielectric Nipple",PROFLO,PFXDNTHP,LF 11/4X4 TXT IPS DIELEC NIP
"1 1/4"" Dielectric Nipple",PROFLO,PFXDNTHP,LF 11/4X4 TXT IPS DIELEC NIP
"1 1/4"" Dielectric Nipple",PROFLO,PFXDNTHP,LF 11/4X4 TXT IPS DIELEC NIP
"1 1/4"" Dielectric Nipple",PROFLO,PFXDNTHP,LF 11/4X4 TXT IPS DIELEC NIP
"3/4"" BMI 300# 90",ASC ENGINEERED SOLUTIONS LLC,B3009F,3/4 BLK MI 300# 90 ELL
"3/4"" BMI 300# 90",ASC ENGINEERED SOLUTIONS LLC,B3009F,3/4 BLK MI 300# 90 ELL
"3/4"" BMI 300# 90",ASC ENGINEERED SOLUTIONS LLC,B3009F,3/4 BLK MI 300# 90 ELL
"3/4"" BMI 300# 90",ASC ENGINEERED SOLUTIONS LLC,B3009F,3/4 BLK MI 300# 90 ELL
"3/4"" BMI 300# 90",ASC ENGINEERED SOLUTIONS LLC,B3009F,3/4 BLK MI 300# 90 ELL
"2"" FS 3M SW 45",PHOENIX FORGING CO INC,FSS4K,2 FS 3000# SW 45 ELL
"2"" FS 3M SW 45",PHOENIX FORGING CO INC,FSS4K,2 FS 3000# SW 45 ELL
"2"" FS 3M SW 45",PHOENIX FORGING CO INC,FSS4K,2 FS 3000# SW 45 ELL
"2"" FS 3M SW 45",PHOENIX FORGING CO INC,FSS4K,2 FS 3000# SW 45 ELL
"2"" FS 3M SW 45",PHOENIX FORGING CO INC,FSS4K,2 FS 3000# SW 45 ELL
"1 1/2"" BMI 150# 90",IMPORTED,IB9J,11/2 BLK MI 150# 90 ELL
"1 1/2"" BMI 150# 90",IMPORTED,IB9J,11/2 BLK MI 150# 90 ELL
"1 1/2"" BMI 150# 90",IMPORTED,IB9J,11/2 BLK MI 150# 90 ELL
"1 1/2"" BMI 150# 90",IMPORTED,IB9J,11/2 BLK MI 150# 90 ELL
"1 1/2"" BMI 150# 90",IMPORTED,IB9J,11/2 BLK MI 150# 90 ELL
"4""  on 22"" -36"" FS 3M Soc O Let",DOMESTIC MANUFACTURERS,SOL3622P,36 - 22 X 4 FS 3000# SOL
"3/4"" FS 3M SW 45",IMPORTED,IFSS4F,3/4 FS 3000# SOC 45 ELL
"3/4"" FS 3M SW 45",IMPORTED,IFSS4F,3/4 FS 3000# SOC 45 ELL
"3/4"" FS 3M SW 45",IMPORTED,IFSS4F,3/4 FS 3000# SOC 45 ELL
"3/4"" FS 3M SW 45",IMPORTED,IFSS4F,3/4 FS 3000# SOC 45 ELL
"3/4"" FS 3M SW 45",IMPORTED,IFSS4F,3/4 FS 3000# SOC 45 ELL
"1 1/4""  on 2"" -3 1/2"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOLNKH,31/2  2 X 11/4 FS 3000# TOL
"1 1/4""  on 2"" -3 1/2"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOLNKH,31/2  2 X 11/4 FS 3000# TOL
"1 1/4""  on 2"" -3 1/2"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOLNKH,31/2  2 X 11/4 FS 3000# TOL
"1 1/4""  on 2"" -3 1/2"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOLNKH,31/2  2 X 11/4 FS 3000# TOL
"1 1/4""  on 2"" -3 1/2"" FS 3M Thread O Let",PHOENIX FORGING CO INC,TOLNKH,31/2  2 X 11/4 FS 3000# TOL
"3/4"" Dielectric Nipple",PROFLO,PFXDNTFM,LF 3/4X3 TXT IPS DIELEC NIP
"3/4"" Dielectric Nipple",PROFLO,PFXDNTFM,LF 3/4X3 TXT IPS DIELEC NIP
"3/4"" Dielectric Nipple",PROFLO,PFXDNTFM,LF 3/4X3 TXT IPS DIELEC NIP
"3/4"" Dielectric Nipple",PROFLO,PFXDNTFM,LF 3/4X3 TXT IPS DIELEC NIP
"3/4"" Dielectric Nipple",PROFLO,PFXDNTFM,LF 3/4X3 TXT IPS DIELEC NIP
"1/4""  on 3/8"" -36"" FS 3M Thread O Let",IMPORTED,ITOL36CB,36  3/8 X 1/4 FS 3000# TOL
"1/4""  on 3/8"" -36"" FS 3M Thread O Let",IMPORTED,ITOL36CB,36  3/8 X 1/4 FS 3000# TOL
"1/4""  on 3/8"" -36"" FS 3M Thread O Let",IMPORTED,ITOL36CB,36  3/8 X 1/4 FS 3000# TOL
"1/4""  on 3/8"" -36"" FS 3M Thread O Let",IMPORTED,ITOL36CB,36  3/8 X 1/4 FS 3000# TOL
"1/4""  on 3/8"" -36"" FS 3M Thread O Let",IMPORTED,ITOL36CB,36  3/8 X 1/4 FS 3000# TOL
"2 1/2"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFL,21/2 CS 300# STD RF WN FLG
"2 1/2"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFL,21/2 CS 300# STD RF WN FLG
"2 1/2"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFL,21/2 CS 300# STD RF WN FLG
"2 1/2"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFL,21/2 CS 300# STD RF WN FLG
"2 1/2"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFL,21/2 CS 300# STD RF WN FLG
"6"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFU,6 CS 300# STD RF WN FLG
"6"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFU,6 CS 300# STD RF WN FLG
"6"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFU,6 CS 300# STD RF WN FLG
"6"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFU,6 CS 300# STD RF WN FLG
"6"" Std. Wt. CS 300# RF WN Flange",GLOBAL,G300RFWNFU,6 CS 300# STD RF WN FLG
"6"" Std. Wt. CS BW LR 90",GLOBAL,GW9U,6 CS STD WLD LR 90 ELL
"6"" Std. Wt. CS BW LR 90",GLOBAL,GW9U,6 CS STD WLD LR 90 ELL
"6"" Std. Wt. CS BW LR 90",GLOBAL,GW9U,6 CS STD WLD LR 90 ELL
"6"" Std. Wt. CS BW LR 90",GLOBAL,GW9U,6 CS STD WLD LR 90 ELL
"6"" Std. Wt. CS BW LR 90",GLOBAL,GW9U,6 CS STD WLD LR 90 ELL
"2 1/2"" x1 1/2"" BMI 300# Reducing Coupling",ASC ENGINEERED SOLUTIONS LLC,B300RCLJ,21/2X11/2 BLK MI 300# RED COUP
"2 1/2"" x1 1/2"" BMI 300# Reducing Coupling",ASC ENGINEERED SOLUTIONS LLC,B300RCLJ,21/2X11/2 BLK MI 300# RED COUP
"2 1/2"" x1 1/2"" BMI 300# Reducing Coupling",ASC ENGINEERED SOLUTIONS LLC,B300RCLJ,21/2X11/2 BLK MI 300# RED COUP
"2 1/2"" x1 1/2"" BMI 300# Reducing Coupling",ASC ENGINEERED SOLUTIONS LLC,B300RCLJ,21/2X11/2 BLK MI 300# RED COUP
"2 1/2"" x1 1/2"" BMI 300# Reducing Coupling",ASC ENGINEERED SOLUTIONS LLC,B300RCLJ,21/2X11/2 BLK MI 300# RED COUP
"1"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9G,1 FS 3000# SW 90 ELL
"1"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9G,1 FS 3000# SW 90 ELL
"1"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9G,1 FS 3000# SW 90 ELL
"1"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9G,1 FS 3000# SW 90 ELL
"1"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9G,1 FS 3000# SW 90 ELL
"1 1/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9H,11/4 FS 3000# SW 90 ELL
"1 1/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9H,11/4 FS 3000# SW 90 ELL
"1 1/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9H,11/4 FS 3000# SW 90 ELL
"1 1/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9H,11/4 FS 3000# SW 90 ELL
"1 1/4"" FS 3M SW 90",PHOENIX FORGING CO INC,FSS9H,11/4 FS 3000# SW 90 ELL
"2 1/2"" Std. Wt. CS 150# RF Threaded Flange",GLOBAL,GRFTFL,21/2 CS 150# RF THRD FLG
"2 1/2"" Std. Wt. CS 150# RF Threaded Flange",GLOBAL,GRFTFL,21/2 CS 150# RF THRD FLG
"2 1/2"" Std. Wt. CS 150# RF Threaded Flange",GLOBAL,GRFTFL,21/2 CS 150# RF THRD FLG
"2 1/2"" Std. Wt. CS 150# RF Threaded Flange",GLOBAL,GRFTFL,21/2 CS 150# RF THRD FLG
"2 1/2"" Std. Wt. CS 150# RF Threaded Flange",GLOBAL,GRFTFL,21/2 CS 150# RF THRD FLG
"2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFK,2 CS 150# STD RF WN FLG
"2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFK,2 CS 150# STD RF WN FLG
"2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFK,2 CS 150# STD RF WN FLG
"2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFK,2 CS 150# STD RF WN FLG
"2"" Std. Wt. CS 150# RF WN Flange",GLOBAL,GRFWNFK,2 CS 150# STD RF WN FLG
"1 1/2"" x3"" Std. Wt. CS A106B Nipple",PHOENIX FORGING CO INC,BXSNJM,11/2X3 BLK XH SMLS A106 NIP
"1 1/2"" x3"" Std. Wt. CS A106B Nipple",PHOENIX FORGING CO INC,BXSNJM,11/2X3 BLK XH SMLS A106 NIP
"1 1/2"" x3"" Std. Wt. CS A106B Nipple",PHOENIX FORGING CO INC,BXSNJM,11/2X3 BLK XH SMLS A106 NIP
"1 1/2"" x3"" Std. Wt. CS A106B Nipple",PHOENIX FORGING CO INC,BXSNJM,11/2X3 BLK XH SMLS A106 NIP
"1 1/2"" x3"" Std. Wt. CS A106B Nipple",PHOENIX FORGING CO INC,BXSNJM,11/2X3 BLK XH SMLS A106 NIP
"4"" x2 1/2"" Std. Wt. CS BW Eccentric Reducer",GLOBAL,GWERPL,4X21/2 CS STD WLD ECC RED
"4"" x2 1/2"" Std. Wt. CS BW Eccentric Reducer",GLOBAL,GWERPL,4X21/2 CS STD WLD ECC RED
"4"" x2 1/2"" Std. Wt. CS BW Eccentric Reducer",GLOBAL,GWERPL,4X21/2 CS STD WLD ECC RED
"4"" x2 1/2"" Std. Wt. CS BW Eccentric Reducer",GLOBAL,GWERPL,4X21/2 CS STD WLD ECC RED
"4"" x2 1/2"" Std. Wt. CS BW Eccentric Reducer",GLOBAL,GWERPL,4X21/2 CS STD WLD ECC RED
"2"" BMI 150# Street 90",IMPORTED,IBS9K,2 BLK MI 150# ST 90 ELL
"2"" BMI 150# Street 90",IMPORTED,IBS9K,2 BLK MI 150# ST 90 ELL
"2"" BMI 150# Street 90",IMPORTED,IBS9K,2 BLK MI 150# ST 90 ELL
"2"" BMI 150# Street 90",IMPORTED,IBS9K,2 BLK MI 150# ST 90 ELL
"2"" BMI 150# Street 90",IMPORTED,IBS9K,2 BLK MI 150# ST 90 ELL
"1 1/2"" Dielectric Nipple",PROFLO,PFXDNTJP,LF 11/2X4 TXT IPS DIELEC NIP
"1 1/2"" Dielectric Nipple",PROFLO,PFXDNTJP,LF 11/2X4 TXT IPS DIELEC NIP
